Voter ID,County,Candidate
12522584,Marsh,Khan
18943426,Marsh,Khan
19909160,Marsh,Correy
10496577,Marsh,Khan
17634225,Queen,Correy
16953383,Queen,Khan
16912646,Marsh,Khan
12222395,Bamoo,Correy
12125491,Queen,Correy
19968605,Marsh,Correy
18007410,Marsh,Khan
11015017,Marsh,Khan
18207676,Marsh,Khan
15104505,Marsh,Khan
11432269,Marsh,Khan
11560336,Marsh,Khan
10924747,Queen,Correy
10790448,Marsh,Khan
10269198,Marsh,Khan
16755419,Marsh,Khan
18769584,Marsh,Correy
12009848,Marsh,Khan
11305151,Marsh,Khan
19884623,Queen,Khan
11728990,Marsh,Khan
12970802,Marsh,Li
18389780,Bamoo,Correy
11774732,Marsh,Khan
11462402,Queen,Khan
13319726,Marsh,Khan
19817730,Bamoo,Khan
11424197,Marsh,Khan
19265757,Marsh,Khan
19716585,Queen,Correy
18445545,Queen,Khan
17273449,Queen,Khan
19416796,Marsh,Khan
12280367,Marsh,Khan
11498442,Marsh,O'Tooley
17404204,Marsh,O'Tooley
13302260,Marsh,Khan
11370933,Marsh,Correy
19623389,Marsh,O'Tooley
10461863,Queen,Khan
19495123,Queen,Khan
19878807,Marsh,Khan
16087405,Raffah,Li
14285359,Marsh,Khan
15986918,Marsh,Khan
14089576,Marsh,Khan
10876359,Bamoo,Correy
17825743,Marsh,Khan
11786322,Marsh,Khan
16598852,Queen,Li
15289915,Bamoo,Khan
14426719,Marsh,Correy
12311293,Bamoo,Correy
16187993,Marsh,Khan
14887851,Bamoo,Li
12741852,Marsh,Correy
19289671,Marsh,Khan
17697580,Marsh,Li
10494137,Marsh,Khan
12472734,Bamoo,Li
16773692,Marsh,Khan
17092534,Marsh,Khan
18334767,Marsh,Khan
11852604,Bamoo,Li
17422656,Marsh,Khan
17976621,Marsh,Khan
17836526,Queen,Khan
16257900,Bamoo,Khan
10810843,Marsh,Khan
18967333,Queen,Khan
10944585,Marsh,Correy
10618489,Bamoo,Khan
17013157,Bamoo,Li
17314631,Marsh,Khan
10696537,Marsh,Khan
19603303,Marsh,Khan
17224219,Bamoo,Li
16334150,Marsh,Khan
17434235,Bamoo,Khan
14325384,Queen,Khan
13017875,Marsh,Khan
12124756,Raffah,Khan
19917889,Marsh,Li
19652866,Bamoo,Correy
11114088,Marsh,Li
11143636,Marsh,Khan
11477686,Marsh,Khan
19866804,Queen,Khan
13039796,Marsh,Khan
13260570,Marsh,Li
14519584,Marsh,Khan
19395362,Queen,Khan
15279595,Marsh,Khan
18184591,Queen,Correy
18397162,Bamoo,Khan
11568309,Marsh,Khan
11003950,Queen,Li
12658000,Marsh,Li
12671753,Marsh,Correy
14099137,Raffah,Correy
14883782,Bamoo,Khan
12063912,Queen,Li
10516153,Marsh,Khan
11990860,Marsh,O'Tooley
17423007,Bamoo,Li
15814270,Marsh,Khan
10497207,Marsh,Khan
13931977,Marsh,Khan
11734997,Marsh,O'Tooley
11364141,Queen,Correy
19106931,Marsh,Correy
12757345,Raffah,Correy
17282377,Marsh,Khan
13483853,Marsh,Khan
10374209,Queen,Li
14508029,Queen,Khan
16492452,Marsh,Li
19029156,Bamoo,Khan
15882465,Marsh,Khan
15298966,Marsh,Khan
11089578,Marsh,Khan
13112684,Marsh,Khan
11656448,Marsh,Khan
15838686,Queen,Khan
10564582,Marsh,Correy
18191558,Marsh,Khan
19740476,Marsh,Khan
11333296,Marsh,Khan
10744608,Marsh,Khan
17744472,Marsh,Correy
19840837,Marsh,Khan
12316361,Marsh,Khan
16367362,Queen,Correy
18237302,Trandee,Khan
13452045,Marsh,Li
18000976,Marsh,Khan
19526959,Queen,Khan
14979258,Bamoo,Khan
18372668,Marsh,Khan
12313229,Bamoo,Khan
10536559,Queen,Correy
10361462,Trandee,Li
16811477,Marsh,Li
13494872,Queen,Khan
12455444,Bamoo,Khan
11007578,Marsh,Khan
14034577,Marsh,Khan
13693317,Marsh,Li
13154309,Marsh,Khan
14409987,Marsh,Li
16537476,Marsh,Khan
15994020,Queen,Correy
19991039,Marsh,Khan
14504479,Marsh,Li
17744929,Marsh,Khan
18274783,Marsh,Khan
13169811,Marsh,Khan
17495718,Marsh,Khan
16147028,Marsh,Correy
12402642,Marsh,Khan
15383377,Marsh,Khan
18103090,Marsh,Khan
17190306,Marsh,Khan
13921875,Raffah,Khan
16431236,Marsh,Khan
13639354,Marsh,Correy
11853747,Marsh,Khan
18560556,Marsh,Khan
13786448,Marsh,Khan
10016965,Marsh,Khan
11252555,Marsh,Khan
11478441,Marsh,Li
19412942,Marsh,Khan
13929042,Marsh,Khan
14548992,Marsh,Correy
19358574,Bamoo,Correy
19796925,Marsh,Li
19491973,Queen,Khan
13145840,Marsh,O'Tooley
15275762,Marsh,Correy
10511662,Bamoo,Khan
14543293,Marsh,Li
16380671,Marsh,Khan
11564401,Raffah,Khan
19801830,Queen,Khan
13075321,Marsh,Khan
19234701,Marsh,Khan
10291804,Queen,Khan
16330248,Marsh,Khan
14689942,Marsh,O'Tooley
11433863,Queen,O'Tooley
11999276,Marsh,Khan
10167104,Marsh,Correy
13769334,Marsh,Khan
16800645,Marsh,Correy
14168264,Marsh,Correy
13609599,Marsh,Khan
15724218,Marsh,Khan
11324913,Queen,Khan
15852124,Marsh,Li
15668271,Marsh,Khan
18013401,Queen,Khan
14554474,Queen,Khan
17667262,Marsh,Li
12461215,Marsh,Correy
15028888,Marsh,Li
12792985,Marsh,Khan
12347668,Marsh,Khan
16855145,Queen,Correy
12409706,Bamoo,Khan
12822309,Marsh,Li
10899899,Marsh,Khan
13837529,Marsh,Khan
17468427,Marsh,Khan
15265516,Marsh,Khan
18754626,Marsh,Correy
14133720,Marsh,Li
11025667,Marsh,Khan
14230794,Marsh,Khan
10239403,Marsh,Khan
17535867,Marsh,Khan
11772308,Marsh,Khan
12364483,Marsh,Khan
11818894,Marsh,Khan
16579333,Marsh,Khan
11950007,Marsh,Khan
18687615,Marsh,Correy
17399086,Bamoo,Correy
10170339,Marsh,Khan
14282394,Marsh,Khan
10222765,Marsh,Khan
11210299,Bamoo,Correy
14623367,Marsh,Khan
14390744,Marsh,Khan
13279626,Marsh,Khan
18758965,Raffah,Correy
14869335,Marsh,Correy
10526726,Marsh,Li
12738074,Marsh,Correy
11764944,Queen,Khan
17330628,Marsh,Correy
16659064,Queen,Khan
14375497,Marsh,Correy
12285637,Marsh,Khan
11367503,Queen,Khan
11890089,Queen,Khan
15790934,Marsh,Khan
10138691,Bamoo,Khan
11608737,Marsh,Correy
13922216,Queen,Khan
12158798,Marsh,Li
18323702,Marsh,Khan
12934282,Marsh,Khan
18988675,Queen,Khan
10812518,Marsh,Khan
17949038,Marsh,Khan
13374832,Marsh,Khan
14575895,Marsh,Correy
18036392,Queen,Li
12221314,Marsh,Correy
18339131,Marsh,Correy
14790450,Queen,Li
13280397,Queen,Khan
17230225,Marsh,Khan
17806264,Trandee,Correy
19097323,Marsh,Khan
16880742,Bamoo,Khan
13284686,Marsh,Khan
10989738,Marsh,Correy
14136050,Queen,Correy
11607450,Queen,Khan
15399294,Marsh,Khan
19739440,Bamoo,Khan
11467359,Marsh,Khan
12165443,Queen,Khan
19919599,Marsh,Khan
18293888,Queen,Correy
19705721,Marsh,Correy
14902044,Queen,Khan
17619843,Marsh,Li
13318686,Marsh,Khan
10440233,Marsh,Khan
10908084,Queen,Khan
14059049,Marsh,Khan
15690898,Queen,Li
11529592,Marsh,Khan
17405760,Raffah,Khan
14963696,Queen,Khan
16560794,Marsh,Khan
12231683,Marsh,Correy
11928795,Marsh,Li
17731582,Bamoo,Khan
11482278,Marsh,Li
18526164,Queen,Khan
19314789,Marsh,Khan
18504764,Raffah,Khan
17203771,Queen,Correy
17153082,Queen,Khan
13951448,Marsh,Khan
19818513,Marsh,Correy
15737982,Marsh,Li
15556544,Queen,O'Tooley
19030012,Queen,Li
11239170,Queen,Khan
18569781,Marsh,Khan
16097533,Marsh,Khan
15778186,Marsh,Khan
17656360,Marsh,Correy
13239976,Marsh,Khan
11260373,Trandee,Correy
12394944,Queen,Khan
16555658,Queen,Correy
10568722,Marsh,Khan
12036642,Raffah,Khan
10884727,Marsh,Correy
13102356,Marsh,Correy
14284680,Marsh,Li
12219544,Marsh,O'Tooley
16456931,Queen,Correy
17223512,Queen,Khan
16866470,Bamoo,Li
17993760,Marsh,Khan
15380744,Marsh,Khan
14870350,Marsh,Khan
10446536,Marsh,Li
16072902,Marsh,Khan
15087192,Queen,Correy
18922703,Bamoo,Correy
16688444,Marsh,Correy
16506934,Marsh,Khan
12807399,Queen,Khan
17861830,Trandee,O'Tooley
10039661,Marsh,Khan
13759081,Marsh,Correy
11425141,Marsh,Correy
19791611,Queen,Correy
11335441,Marsh,Khan
10282885,Bamoo,Khan
15431827,Marsh,Li
15422928,Marsh,Khan
12168888,Marsh,Khan
19356934,Marsh,Khan
11760519,Marsh,O'Tooley
16507582,Marsh,Khan
18777816,Marsh,Correy
12574822,Queen,Khan
11453385,Marsh,Khan
10745532,Marsh,Khan
10620527,Queen,Li
16405519,Marsh,Khan
18856501,Marsh,Khan
18114452,Marsh,Khan
11360822,Marsh,Khan
18997013,Marsh,Correy
16547796,Queen,Khan
11811771,Marsh,Li
11780003,Marsh,Correy
18916212,Marsh,Li
14826881,Raffah,Correy
13440206,Marsh,Khan
19547696,Marsh,Khan
17424481,Marsh,Correy
17190094,Marsh,Correy
12644977,Queen,Khan
11093692,Queen,Correy
12386846,Queen,Khan
14951083,Raffah,Khan
11863351,Marsh,Khan
10064724,Marsh,Khan
11215021,Marsh,Li
12107588,Marsh,Li
11697334,Marsh,Li
10905876,Queen,O'Tooley
11022943,Marsh,Correy
17404063,Queen,Correy
14221431,Queen,Khan
17842744,Marsh,Khan
16103766,Queen,Khan
16178039,Marsh,Khan
11477129,Marsh,Khan
10353034,Marsh,Correy
14556381,Marsh,Correy
14402579,Trandee,Li
10878073,Bamoo,Khan
15653415,Marsh,Correy
16269400,Raffah,Khan
19723844,Marsh,Khan
19067765,Queen,Correy
10308515,Marsh,Khan
18808538,Marsh,Correy
17059758,Queen,Li
17225363,Marsh,Li
11405690,Marsh,Khan
13330346,Marsh,Khan
19806605,Marsh,Khan
10061328,Trandee,Khan
14313954,Marsh,Khan
18449597,Queen,Correy
11797531,Marsh,Khan
11410263,Marsh,Khan
17055059,Marsh,Correy
16678310,Marsh,Khan
12736378,Queen,Correy
18133562,Bamoo,Khan
15945022,Marsh,Khan
17509575,Marsh,Khan
10929595,Marsh,Khan
15941227,Marsh,Li
16079379,Marsh,Khan
10824922,Queen,Khan
16188765,Marsh,Khan
14010091,Marsh,Khan
19608522,Marsh,Khan
19558935,Marsh,Khan
19334845,Marsh,Khan
15964658,Raffah,Khan
11400855,Marsh,Khan
11142032,Marsh,Khan
14229034,Marsh,Correy
13198905,Queen,Correy
11457112,Marsh,Khan
14277374,Queen,Khan
13793748,Queen,Correy
12983437,Marsh,Khan
11042937,Marsh,Khan
18793427,Marsh,Khan
19976002,Marsh,Khan
18892592,Queen,Correy
10564976,Marsh,Li
19423912,Trandee,Khan
17599663,Bamoo,Khan
15097387,Queen,Khan
17403533,Marsh,Khan
19667514,Marsh,Khan
14500783,Queen,Khan
14449031,Marsh,Khan
16972533,Marsh,Khan
13095495,Marsh,Khan
18710215,Raffah,Khan
14298376,Marsh,Khan
16870377,Bamoo,Li
16116070,Marsh,Khan
18223202,Bamoo,Khan
10284801,Marsh,Khan
18502168,Raffah,Khan
15697749,Marsh,Khan
16290505,Marsh,Khan
13289534,Marsh,Khan
15402643,Marsh,Khan
12818667,Marsh,Correy
15436050,Marsh,Li
13135194,Queen,Khan
16103848,Marsh,Khan
17861859,Raffah,Khan
19313502,Marsh,Khan
18303873,Bamoo,Khan
10276062,Marsh,Li
18988775,Marsh,Li
10718955,Marsh,O'Tooley
18195965,Marsh,Khan
13009379,Bamoo,Khan
17937245,Bamoo,Khan
13872523,Queen,Khan
16306532,Marsh,Khan
19756307,Marsh,Khan
17026810,Marsh,Khan
17423908,Marsh,Khan
19366318,Marsh,Li
11041669,Marsh,Li
12793826,Marsh,Khan
18265577,Queen,Khan
14203924,Marsh,Khan
11319289,Marsh,Correy
14198850,Queen,Correy
11886512,Queen,Khan
15562701,Queen,Khan
17806470,Marsh,Khan
14002114,Queen,Khan
12516663,Queen,Khan
10252440,Marsh,Khan
15439528,Queen,Correy
18734467,Queen,Khan
12419535,Marsh,Khan
17098153,Queen,Khan
12446180,Marsh,Khan
19146878,Marsh,Khan
15802545,Marsh,Khan
14982671,Queen,Khan
17309586,Raffah,Correy
16446560,Marsh,Khan
15447071,Queen,Khan
15129704,Marsh,Correy
19746250,Queen,Khan
10721479,Queen,Li
12997240,Queen,Khan
14843403,Marsh,Khan
17170188,Queen,Khan
15149024,Marsh,Correy
13051169,Marsh,Correy
17116870,Bamoo,Khan
18289181,Queen,Correy
10291899,Marsh,Khan
15881484,Trandee,Correy
14859595,Marsh,Li
18647969,Trandee,Khan
10950574,Marsh,Khan
10602035,Bamoo,Khan
16867728,Marsh,Khan
10622112,Marsh,Khan
16745397,Marsh,Khan
15494813,Marsh,O'Tooley
12415226,Marsh,Khan
11146068,Bamoo,Khan
15346580,Marsh,Li
18151906,Marsh,Correy
13486669,Bamoo,Li
17915905,Marsh,Correy
11828972,Marsh,Khan
17387474,Marsh,Correy
12111054,Bamoo,Khan
10481832,Bamoo,Khan
18497588,Marsh,Correy
18281236,Marsh,Khan
15990127,Marsh,O'Tooley
17851552,Marsh,Khan
11559593,Queen,Khan
15284672,Queen,Correy
14259631,Queen,Khan
17587865,Marsh,Li
13835899,Marsh,Khan
14961383,Marsh,Khan
16030811,Marsh,Khan
13807633,Marsh,Khan
10793094,Marsh,Khan
14606431,Marsh,Li
10074811,Bamoo,Khan
18382810,Queen,Khan
11773683,Marsh,Khan
10733803,Queen,Khan
15919052,Bamoo,Correy
18965702,Queen,Li
12572153,Queen,Khan
18118736,Marsh,Khan
19195101,Marsh,Khan
14285771,Queen,Li
12516206,Marsh,Khan
11103970,Marsh,Khan
